======================================================================
SP500+SP400 VCP 信号 (sp900)
======================================================================

  VCP 扫描器 v3 | 2026-09-15
  数据源: 本地价缓存（绕过 Yahoo 匿名限流）
  市场: us | 股票池: sp900 (SP500+SP400) | 命中: 23 只

  VCP 形态标的（按距突破%升序，越靠前越接近突破）：

| VCP分 | 代码 | 当前价格 | RS评级 | 收缩% | 5日振幅% | 缩量比例% | 突破挂单价 | 距突破% | 距52周高% | 10EMA | 21EMA | 吊灯止损 | ATR止损 |
|------|------|---------|-------|-------|---------|---------|-----------|--------|---------|-------|-------|---------|--------|
| 3 | MCK | 910.95 | 37 | 10.6/8.2/6.0 | 4.31 | 65.04 | 911.99 | 0.11 | 8.81 | 895.2 | 887.27 | 919.49 | 838.07 |
| 1 | ROKU | 157.45 | 76 | 2.9/3.1/4.3 | 3.83 | 63.48 | 157.83 | 0.24 | 1.53 | 155.82 | 155.08 | 158.94 | 144.85 |
| 2 | PM | 194.86 | 23 | 7.3/11.3/8.0 | 7.92 | 62.1 | 195.35 | 0.25 | 6.21 | 189.3 | 188.95 | 194.88 | 179.27 |
| 1 | AES | 14.8 | 16 | 20.1/1.2/1.5 | 0.47 | 64.45 | 14.85 | 0.34 | 16.15 | 14.79 | 14.77 | 14.83 | 13.62 |
| 1 | PFG | 116.9 | 56 | 7.5/4.8/6.2 | 3.73 | 67.96 | 117.42 | 0.44 | 3.53 | 114.81 | 113.84 | 119.76 | 107.55 |
| 3 | NWS | 33.86 | 6 | 11.6/10.1/9.1 | 4.83 | 71.3 | 34.06 | 0.59 | 5.31 | 33.62 | 33.62 | 35.37 | 31.15 |
| 2 | BMRN | 66.41 | 27 | 6.6/9.7/6.1 | 5.21 | 69.69 | 66.88 | 0.71 | 6.44 | 65.72 | 65.45 | 69.58 | 61.1 |
| 1 | HSIC | 88.93 | 36 | 6.9/4.2/5.0 | 3.31 | 70.51 | 89.99 | 1.19 | 3.53 | 88.86 | 88.86 | 91.17 | 81.82 |
| 1 | RGA | 249.05 | 41 | 4.4/4.7/5.2 | 3.19 | 68.9 | 252.28 | 1.3 | 3.4 | 248.36 | 246.68 | 255.7 | 229.13 |
| 1 | SYY | 83.54 | 9 | 7.2/4.3/6.8 | 6.59 | 68.39 | 84.7 | 1.39 | 9.05 | 82.2 | 82.34 | 84.73 | 76.86 |
| 3 | TWLO | 231.88 | 93 | 21.6/16.5/9.1 | 6.07 | 66.13 | 235.32 | 1.48 | 10.25 | 230.3 | 228.42 | 250.16 | 213.33 |
| 2 | HALO | 107.94 | 58 | 7.3/10.2/-22.5 | 3.67 | 46.47 | 109.96 | 1.87 | 2.89 | 107.68 | 105.12 | 109.67 | 99.3 |
| 2 | SSB | 106.11 | 10 | 4.1/7.5/3.6 | 3.51 | 61.07 | 108.17 | 1.94 | 5.43 | 106.21 | 106.41 | 111.24 | 97.62 |
| 1 | JNJ | 266.32 | 67 | 8.9/4.6/5.6 | 2.54 | 66.24 | 271.99 | 2.13 | 5.25 | 268.56 | 267.74 | 278.45 | 245.01 |
| 3 | BIIB | 217.36 | 69 | 15.3/8.0/7.5 | 6.37 | 60.11 | 222.24 | 2.25 | 3.74 | 216.81 | 215.66 | 223.73 | 199.97 |
| 1 | THC | 264.51 | 59 | 14.5/6.9/10.4 | 5.52 | 59.25 | 270.61 | 2.31 | 6.55 | 264.77 | 262.97 | 279.69 | 243.35 |
| 1 | DXCM | 84.68 | 16 | 11.8/5.5/10.9 | 5.42 | 54.34 | 86.75 | 2.44 | 8.54 | 86.09 | 86.59 | 91.42 | 77.91 |
| 2 | AWK | 138.92 | 4 | 6.8/8.1/3.6 | 3.72 | 73.22 | 142.37 | 2.48 | 4.61 | 139.05 | 138.2 | 141.33 | 127.81 |
| 2 | BMY | 64.1 | 53 | 3.6/7.5/7.3 | 4.14 | 67.86 | 65.89 | 2.79 | 6.61 | 65.14 | 65.33 | 68.03 | 58.97 |
| 1 | VRTX | 519.51 | 42 | 12.0/5.7/8.6 | 4.53 | 64.63 | 535.0 | 2.98 | 7.27 | 529.22 | 529.15 | 553.66 | 477.95 |
| 1 | HUM | 407.02 | 64 | 14.8/7.3/10.2 | 8.57 | 57.78 | 419.97 | 3.18 | 5.1 | 401.01 | 395.1 | 414.46 | 374.46 |
| 1 | KDP | 31.58 | 20 | 13.5/3.6/6.2 | 5.59 | 64.49 | 32.87 | 4.08 | 6.62 | 31.89 | 31.74 | 32.81 | 29.05 |
| 2 | EXEL | 56.21 | 61 | 5.5/12.3/8.7 | 8.91 | 69.19 | 59.41 | 5.69 | 5.88 | 56.88 | 56.16 | 58.61 | 51.71 |
