信号日期,市场,代码,当前价格,50日均线,5日振幅%,缩量比例%,突破挂单价,距突破%,记录日期
2026-06-14,US,ABEV,3.25,3.12,7.54,72.62,3.28,0.92,2026-06-16 23:59
2026-06-14,US,NKE,44.93,43.91,8.58,73.31,46.31,3.07,2026-06-16 23:59
2026-06-14,US,F,14.84,13.31,9.15,70.36,15.39,3.71,2026-06-16 23:59
2026-06-16,JP,6594.T,2728.0,2516.48,9.2,66.55,2742.0,0.51,2026-06-16 23:59
2026-06-16,JP,8729.T,143.6,142.92,6.61,52.47,150.1,4.53,2026-06-16 23:59
2026-06-16,US,PCG,16.95,16.81,4.45,46.97,17.13,1.06,2026-06-16 23:59
2026-06-16,US,F,14.84,13.31,9.15,70.37,15.39,3.71,2026-06-16 23:59
2026-06-17,JP,8918.T,11.0,9.98,10.0,43.68,11.0,0.0,2026-06-17 09:27
2026-06-17,JP,4689.T,418.9,414.62,5.95,18.51,420.4,0.36,2026-06-17 09:27
2026-06-17,JP,8604.T,1438.5,1306.92,8.36,28.68,1445.0,0.45,2026-06-17 09:27
2026-06-17,JP,6594.T,2728.0,2516.48,9.2,66.55,2742.0,0.51,2026-06-17 00:02
2026-06-17,JP,3092.T,1149.5,1058.73,9.01,45.66,1156.0,0.57,2026-06-17 09:27
2026-06-17,JP,8411.T,7965.0,7052.5,9.51,46.52,8018.0,0.67,2026-06-17 09:27
2026-06-17,JP,6902.T,1908.5,1895.5,6.07,21.92,1923.0,0.76,2026-06-17 09:27
2026-06-17,JP,8306.T,3295.0,2968.44,8.02,44.84,3327.0,0.97,2026-06-17 09:27
2026-06-17,JP,8601.T,1608.0,1515.55,7.11,30.62,1626.0,1.12,2026-06-17 09:27
2026-06-17,JP,8750.T,1812.5,1566.87,7.63,26.99,1834.0,1.19,2026-06-17 09:27
2026-06-17,JP,7211.T,337.2,334.78,8.1,15.79,341.8,1.36,2026-06-17 09:27
2026-06-17,JP,8766.T,7332.0,7245.84,4.13,24.47,7487.0,2.11,2026-06-17 09:27
2026-06-17,JP,9433.T,2723.5,2656.99,5.21,15.35,2809.0,3.14,2026-06-17 09:27
2026-06-17,JP,7267.T,1428.5,1349.42,6.27,19.27,1475.0,3.26,2026-06-17 09:27
2026-06-17,JP,7182.T,3174.0,2891.8,8.1,26.52,3308.0,4.22,2026-06-17 09:27
2026-06-17,JP,8308.T,2180.5,2004.01,9.0,36.03,2277.5,4.45,2026-06-17 09:27
2026-06-17,JP,8729.T,143.6,142.92,6.61,52.47,150.1,4.53,2026-06-17 00:02
2026-06-17,JP,2181.T,242.1,239.47,5.18,18.61,253.6,4.75,2026-06-17 09:27
2026-06-17,US,BAC,56.84,52.41,5.55,71.36,57.07,0.4,2026-06-17 09:27
2026-06-17,US,AAPL,298.41,286.22,4.65,28.48,300.75,0.78,2026-06-17 00:02
2026-06-17,US,NVDA,209.49,207.35,6.1,33.34,211.49,0.96,2026-06-17 00:02
