======================================================================
  VCP 扫描器 v3 | 2026-08-11 22:14
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 19.9%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 157 只 VCP 形态标的：

 VCP分   代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    3  AMP  562.98     8    9.3/7.0/5.2   2.82  40.00  565.28  0.41    0.41  552.35  538.70  558.26  517.94
    3  BAC   64.00    55   18.9/9.0/4.0   3.01  43.99   64.27  0.42    0.42   62.96   61.91   63.63   58.88
    3  SWK  104.00    66  12.4/10.8/6.6   4.24  63.36  104.67  0.64    0.64  100.16   96.36  102.49   95.68
    3  MTB  252.16    47    7.6/4.7/4.2   3.04  48.59  254.42  0.90    1.11  250.47  248.03  253.38  231.99
    3  USB   64.29    60    8.3/4.3/3.6   3.03  26.98   65.02  1.14    1.12   63.90   63.33   64.66   59.15
    3  IEX  237.31    65    9.1/6.4/5.7   3.39  52.58  240.05  1.15    2.66  233.22  229.93  240.92  218.33
    3  OZK   51.87     2    8.5/6.9/3.4   3.55  62.99   52.55  1.31    3.34   51.54   51.31   52.76   47.72
    3  CHD  102.78    11    6.4/6.2/5.9   3.23  54.33  104.31  1.49    3.07  101.79  100.26  103.17   94.56
    3 SCHW  107.70     8   10.1/7.6/4.4   2.95  29.34  109.32  1.50    1.48  106.54  104.34  108.19   99.08
    3  PNC  254.23    50    7.2/3.5/2.7   3.44  67.99  258.13  1.53    1.51  252.45  250.95  256.82  233.89
    3 TXRH  209.82    21    7.8/5.6/4.1   4.26  73.77  213.19  1.61    1.61  206.77  202.05  210.28  193.03
    3  WEX  189.06    10  29.2/17.1/5.5   5.77  43.10  192.37  1.75    1.72  185.19  177.26  187.86  173.94
    3  MRK  130.42    78    9.6/7.8/6.5   4.86  43.49  132.84  1.86    3.43  129.33  128.27  133.36  119.99
    3  FNB   19.11    29    6.6/5.5/3.6   3.62  34.38   19.47  1.88    2.45   19.05   19.00   19.47   17.58
    3 HOMB   31.01     7    4.7/4.5/3.8   3.57  47.47   31.60  1.90    2.18   30.95   30.58   31.36   28.53
    3  CFR  166.01    50    9.5/5.9/4.7   4.23  73.32  169.19  1.92    2.51  165.45  163.33  168.72  152.73
    3  PAG  216.66    24   11.7/7.5/6.5   2.79  64.00  220.99  2.00    4.56  216.01  210.66  222.84  199.33
    3   RF   31.60    32    8.9/4.9/0.1   3.76  41.20   32.29  2.18    2.68   31.42   31.15   32.20   29.07
    3  TFC   52.31    22    8.2/6.8/3.6   3.33  60.76   53.46  2.20    6.92   52.24   51.97   53.80   48.13
    3 UBSI   48.50    44    4.7/4.1/3.9   3.96  55.15   49.58  2.23    2.26   48.43   47.95   49.19   44.62
    3  CCK  120.01    20    8.2/6.0/4.0   4.15  36.15  122.91  2.42    2.36  119.90  117.70  121.30  110.41
    3  ITW  293.15    14    6.8/5.1/4.4   2.76  45.20  300.53  2.52    3.30  291.78  286.01  298.21  269.70
    3   PB   73.64     9    6.2/4.8/3.6   3.30  61.80   75.52  2.55    4.61   73.95   73.61   75.36   67.75
    3  SNA  411.78    34    8.6/6.5/3.6   3.19  35.77  423.02  2.73    2.66  412.73  409.74  419.54  378.84
    3  JLL  363.36    37    7.2/6.8/5.0   5.27  46.02  373.29  2.73    2.66  357.88  347.18  366.60  334.29
    3  BMY   63.61    57   10.0/7.6/3.6   3.50  53.83   65.41  2.83    6.59   64.03   62.71   66.81   58.52
    3 INVH   29.79     1    6.2/4.6/4.5   4.16  40.69   30.89  3.70    5.06   30.08   30.01   30.72   27.41
    3 BURL  358.83    39  16.4/12.7/6.7   4.73  63.06  375.12  4.54    5.15  365.37  358.13  372.39  330.12
    2   OC  158.92     4   7.6/14.9/8.6   8.16  62.41  159.00  0.05    0.62  150.26  146.06  156.20  146.21
    2  ASB   31.88    39    5.8/6.7/6.0   3.25  54.81   31.92  0.14    0.38   31.33   31.06   31.76   29.33
    2 SBUX  106.66    15    3.5/6.7/6.1   3.11  64.28  106.89  0.22    2.35  105.22  104.78  108.39   98.13
    2  JPM  362.04    30    4.8/5.4/2.1   2.77  49.86  363.12  0.30    0.30  356.39  350.90  358.87  333.08
    2  JBL  356.61    74 11.2/27.7/12.1   6.96  66.63  357.72  0.31   16.86  334.63  330.46  349.55  328.08
    2 SLAB  218.94    80    1.2/2.0/1.6   0.84  41.61  219.75  0.37    0.89  218.29  218.05  219.33  201.42
    2  APD  309.31     5    4.6/7.8/7.4   6.16  35.00  311.51  0.71    1.77  301.17  298.30  308.84  284.57
    2 COLB   31.71    33    5.9/8.7/4.4   4.00  68.42   31.99  0.88    5.85   31.44   31.56   33.35   29.17
    2 CHRD  139.23    59  14.3/21.2/9.7   9.60  69.90  140.67  1.03    8.37  135.39  133.04  139.29  128.09
    2 EWBC  133.04    44    5.0/8.0/5.3   3.26  58.50  134.47  1.07    2.35  132.12  131.71  135.42  122.40
    2  CLH  311.55    36    4.6/6.3/5.0   3.06  41.62  315.51  1.27    7.26  309.99  307.97  331.76  286.63
    2  RTX  223.86    63    5.0/6.8/5.6   3.65  41.35  226.88  1.35    1.33  219.44  212.54  222.69  205.95
    2  JCI  154.76    65    7.5/9.9/6.9   4.48  56.76  157.06  1.49    1.46  150.28  147.40  154.69  142.38
    2  ONB   26.84    32    4.9/5.8/4.0   3.73  58.37   27.24  1.49    1.90   26.70   26.53   27.17   24.69
    2 GRMN  309.65    49    4.7/8.7/7.0   4.17  32.08  314.28  1.50    1.47  298.19  281.11  305.36  284.88
    2 SAIC  125.39     6  11.5/20.3/7.2   6.51  51.70  127.28  1.51    1.48  122.26  119.19  125.36  115.36
    2   DE  617.95    27    7.9/9.8/8.4   4.11  36.27  627.88  1.61    8.34  612.88  609.30  636.31  568.51
    2  WSM  250.59    26  12.3/12.5/7.7   3.94  49.06  254.86  1.70    1.68  244.27  237.35  250.24  230.54
    2  PSA  325.10    18    6.5/8.3/3.3   3.38  41.20  330.77  1.74    3.11  325.33  323.51  332.37  299.09
    2  TEX   67.73    52 18.3/15.9/15.5   5.91  43.08   68.94  1.79    9.32   66.32   66.21   70.24   62.31
    2 AMGN  414.30    66    6.3/6.8/5.7   7.87  66.70  421.79  1.81    1.78  400.75  388.27  414.08  381.16
    2 ARWR   89.24    98  8.4/20.4/14.5   6.78  45.68   90.97  1.94    6.55   86.91   84.71   92.58   82.10
    2   CL   92.31     7    6.7/7.0/6.6   3.20  42.80   94.15  1.99    7.07   92.48   92.19   95.16   84.93
    2  TOL  152.91    23   5.6/12.7/7.8   4.39  57.63  155.97  2.00    9.18  151.87  151.41  156.12  140.68
    2  CFG   72.99    72    5.9/6.8/6.2   4.11  59.24   74.54  2.12    2.29   72.62   72.01   74.11   67.15
    2  BAX   27.61    17   9.0/10.1/9.7   6.21  68.16   28.21  2.17    7.97   26.79   25.34   29.00   25.40
    2 CBSH   59.02     2    3.8/4.9/4.2   3.39  57.67   60.33  2.22    3.12   59.19   58.90   60.56   54.30
    2 OKTA  150.33    81  8.6/24.8/17.8   9.77  65.40  153.68  2.23    4.25  146.03  142.93  153.82  138.30
    2 SEIC  104.63    22    4.4/7.7/6.5   3.24  70.33  107.00  2.27    2.21  103.73  101.39  105.61   96.26
    2 FFIN   34.80     1    5.2/7.1/4.4   4.56  53.04   35.76  2.76    8.71   34.87   34.83   36.23   32.02
    2   CB  347.07    38    7.6/8.6/6.5   3.29  60.42  356.85  2.82    5.15  350.65  350.20  362.29  319.30
    2  ADM   80.46    57  7.5/16.1/14.3   9.46  65.98   82.94  3.08    9.04   79.74   80.40   87.02   74.02
    2  NSC  334.60    24    5.9/8.3/3.8   3.91  50.86  344.99  3.11    6.69  336.91  334.76  354.60  307.83
    2  URI 1143.59    31  5.5/13.0/10.6   3.95  41.92 1179.18  3.11    3.02 1131.74 1111.81 1158.23 1052.10
    2  CNO   54.63    64    3.9/4.7/4.5   3.31  51.51   56.42  3.28    5.14   54.76   54.01   56.91   50.26
    2 KVUE   19.05     0    7.4/7.7/6.8   4.43  54.06   19.70  3.41   13.23   19.23   19.19   19.88   17.53
    2  IVZ   31.36    70  6.9/14.2/10.2   4.33  48.65   32.55  3.79    3.66   31.07   30.31   32.02   28.85
    2  RNR  316.52    48   8.9/10.1/9.6   3.94  41.25  328.56  3.80    5.79  321.07  320.48  331.65  291.20
    2 AMZN  272.27    29  8.4/17.9/12.4   4.45  55.42  282.79  3.86    5.20  267.16  258.67  280.26  250.49
    2 AVGO  416.08    51 25.2/14.0/12.2   5.35  47.21  432.73  4.00   15.94  410.05  400.80  424.22  382.79
    2   BC   81.41    54   8.7/15.3/7.9   6.06  69.26   84.68  4.02    9.80   81.13   80.86   83.69   74.90
    2 PNFP  105.70    16    5.6/9.1/6.2   6.26  44.34  110.00  4.07    4.20  105.27  103.80  108.52   97.24
    2  PRI  312.79    21   7.3/10.7/4.0   4.82  57.79  327.28  4.63    4.43  317.46  313.69  324.48  287.77
    2 LFUS  453.87    84 14.1/20.7/10.8   6.51  58.65  474.97  4.65    9.33  447.30  438.22  464.10  417.56
    2  AFL  121.07    19    6.4/7.7/3.7   5.01  52.90  126.99  4.89    7.03  124.42  124.21  129.12  111.38
    2  IFF   85.00    47  7.9/11.2/10.0   6.64  60.61   89.32  5.08    4.84   83.11   81.01   87.36   78.20
    2  WCC  366.17    83  11.8/19.2/8.7   6.32  43.40  385.37  5.24    4.98  359.05  349.98  376.64  336.88
