======================================================================
  VCP 扫描器 v3 | 2026-08-17 21:52
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 20.1%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 170 只 VCP 形态标的：

 VCP分    代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    3  SLAB  219.29    74    2.0/1.6/0.9   0.77  41.90  219.45  0.07    0.73  218.54  218.26  219.33  201.75
    3  CASY  870.01    78  18.0/17.8/8.4   5.99  66.26  875.05  0.58    6.23  850.96  848.40  877.05  800.41
    3   IEX  240.39    61    9.1/6.4/5.7   3.79  45.71  242.10  0.71    1.40  236.82  233.04  240.92  221.16
    3   IVZ   32.57    68  14.2/10.2/4.5   5.47  50.19   32.80  0.71    0.70   31.77   30.94   32.24   29.96
    3   FNB   19.40    22    6.6/5.5/3.6   3.60  48.61   19.56  0.82    0.97   19.23   19.12   19.44   17.85
    3  UBSI   48.98    37    4.7/4.1/3.9   2.77  68.26   49.38  0.82    1.29   48.78   48.30   49.24   45.06
    3   MRK  135.97    72    9.6/7.8/6.5   6.40  55.56  137.15  0.87    0.86  132.62  130.46  135.67  125.09
    3  LFUS  471.81    82  20.7/10.8/6.3   7.02  62.80  476.30  0.95    5.75  454.78  445.18  465.28  434.07
    3  SCHW  110.58    14   10.1/7.6/4.4   4.58  47.56  111.64  0.96    0.95  108.66  106.24  110.25  101.73
    3   URI 1164.82    31  13.0/10.6/5.8   5.85  57.23 1176.44  1.00    1.22 1139.44 1121.96 1158.23 1071.63
    3   PAG  217.95    21   11.7/7.5/6.5   2.11  56.75  220.55  1.19    3.99  217.46  213.18  223.16  200.51
    3    PB   74.48     9    6.2/4.8/3.6   2.95  39.68   75.37  1.19    3.52   74.35   73.94   75.36   68.52
    3   MTB  252.86    39    7.6/4.7/4.2   2.00  56.95  255.95  1.22    1.21  252.09  249.74  254.62  232.63
    3   WCC  372.96    80   19.2/8.7/7.4   5.84  50.02  377.64  1.25    3.22  362.55  354.73  376.64  343.12
    3    RF   31.70    23    8.9/4.9/0.1   2.44  67.67   32.10  1.28    2.37   31.59   31.33   32.20   29.16
    3   BWA   69.90    76   18.4/9.4/7.4   5.20  56.99   70.98  1.55   11.32   67.88   66.70   69.74   64.31
    3   CFR  168.07    41    9.5/5.9/4.7   3.51  40.51  170.80  1.62    1.60  167.25  165.03  169.49  154.62
    3   PNC  254.55    38    7.2/3.5/2.7   3.06  32.54  258.96  1.73    1.70  254.14  252.40  257.56  234.19
    3   USB   64.87    53    8.3/4.3/3.6   3.37  49.17   66.07  1.86    1.82   64.57   63.90   65.65   59.68
    3   JCI  153.92    60    9.9/6.9/4.5   4.55  38.57  156.84  1.90    2.00  151.84  149.18  154.69  141.61
    3   TFC   52.53    19    8.2/6.8/3.6   3.48  53.69   53.53  1.90    6.53   52.56   52.24   53.80   48.33
    3   AMP  561.63    10    9.3/7.0/5.2   3.05  48.01  572.56  1.95    1.91  560.09  547.54  565.54  516.70
    3   BAC   63.89    41   18.9/9.0/4.0   2.38  69.30   65.22  2.09    2.05   63.68   62.67   64.64   58.78
    3   RNR  318.50    39   10.1/9.6/6.8   3.84  54.29  325.32  2.14    5.20  320.44  320.28  333.38  293.02
    3   THC  264.56    67  21.6/14.5/6.9   5.57  38.29  270.57  2.27    2.22  260.40  247.05  261.56  243.40
    3  ARWR   88.70    97  20.4/14.5/7.9   8.58  41.25   90.97  2.56    7.11   87.07   85.47   92.59   81.60
    3  USFD  108.61    53  16.4/11.4/6.4   4.76  51.98  111.42  2.59    2.52  107.37  104.41  109.34   99.92
    3   TTC   97.50    30   11.4/6.9/4.2   4.39  58.30  100.31  2.88    7.31   97.47   96.46   99.17   89.70
    3   ITW  287.28     9    6.8/5.1/4.4   3.67  52.14  297.76  3.65    5.24  290.79  287.34  298.29  264.30
    3   ALL  258.10    25    8.3/8.0/7.2   4.95  39.43  268.10  3.87    6.90  261.88  259.84  273.45  237.45
    3   SWK   99.59    43  12.4/10.8/6.6   5.40  67.46  104.68  5.11    4.86  100.86   98.01  102.60   91.62
    3   WEX  188.87     7  29.2/17.1/5.5   8.38  47.27  199.69  5.73    5.42  189.01  182.02  194.35  173.76
    3  TXRH  204.40    17    7.8/5.6/4.1   6.58  67.19  216.30  5.82    5.50  207.17  203.89  213.20  188.05
