======================================================================
  VCP 扫描器 v3 | 2026-08-25 21:54
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 18.7%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 111 只 VCP 形态标的：

 VCP分   代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损   硬止损价
    3  PAG  219.76    29    7.5/6.5/2.0   1.78  50.93  219.99  0.10    3.19  217.75  215.15  225.64 202.18
    3  RNR  329.20    57   10.1/9.6/6.8   4.71  58.32  330.77  0.48    2.02  323.66  322.05  333.39 302.86
    3  IVZ   32.72    71  14.2/10.2/4.5   5.75  58.21   32.99  0.84    0.83   32.11   31.50   32.41  30.10
    3  WAB  296.94    73   11.0/6.2/4.8   3.56  62.71  300.00  1.03    3.16  296.02  293.16  304.49 273.18
    3 ARWR   88.88    97  20.4/14.5/7.9   5.51  44.82   90.21  1.50    6.92   87.64   86.53   89.91  81.77
    3  AMP  560.26    13    7.0/5.2/4.5   4.47  45.73  571.10  1.93    2.15  558.54  551.98  567.83 515.44
    3  WEX  199.71    27  29.2/17.1/5.5   6.21  59.29  203.99  2.14    2.10  195.99  189.19  200.36 183.73
    3 USFD  108.89    64   11.4/6.4/5.0   5.15  61.30  111.28  2.19    2.27  108.31  106.23  109.80 100.18
    3  PSA  322.67    19    8.3/3.3/3.1   3.16  69.68  329.87  2.23    3.84  324.07  323.88  332.37 296.86
    3  APD  303.85     6    7.8/7.4/4.2   4.41  64.84  311.00  2.35    3.50  303.69  301.85  308.84 279.54
    3  CFR  163.38    39    9.5/5.9/4.7   3.33  52.56  167.81  2.71    4.34  165.30  164.86  169.76 150.31
    3  ITW  281.65     9    6.8/5.1/4.4   3.19  55.74  289.88  2.92    7.10  285.33  285.51  299.53 259.12
    3  IEX  230.27    62    9.1/6.4/5.7   3.23  65.85  237.11  2.97    5.55  234.19  233.14  241.01 211.85
    3 ZBRA  360.52    21   11.2/9.6/9.3   6.03  60.91  371.49  3.04    6.66  362.44  346.88  372.11 331.68
    3  BAC   62.43    41   18.9/9.0/4.0   4.73  72.16   64.43  3.20    4.29   62.82   62.61   64.74  57.44
    3  ALL  257.62    43    8.0/7.2/5.2   5.43  53.33  266.57  3.47    7.07  258.92  258.92  274.45 237.01
    3 HOMB   29.90     4    4.7/4.5/3.8   4.51  58.13   31.14  4.15    5.68   30.47   30.56   31.48  27.51
    2  LYV  186.77    20    5.6/8.7/5.0   3.75  63.85  186.80  0.02    1.31  183.95  182.95  187.18 171.83
    2  NWS   35.15     6  4.8/11.6/10.1   6.98  59.81   35.19  0.10    0.45   33.94   33.14   34.77  32.34
    2   PK   16.17    61    7.3/8.2/7.8   4.62  59.38   16.19  0.12    0.12   15.57   15.25   15.97  14.88
    2  PLD  143.33    46   7.2/10.0/7.2   2.61  65.92  143.54  0.15    6.53  141.82  142.02  147.80 131.86
    2  BEN   35.03    61    0.6/9.1/8.4   3.95  43.68   35.13  0.30    3.45   34.27   33.99   35.82  32.23
    2 VRTX  552.85    66   6.7/12.0/5.7   4.35  48.37  555.69  0.51    0.51  534.88  518.85  545.44 508.62
    2  DOC   21.66    39    6.8/7.3/3.8   6.40  67.90   21.78  0.55    5.62   21.23   21.29   22.66  19.93
    2  DGX  244.51    58    7.1/8.3/3.3   3.63  73.27  246.00  0.61    0.61  240.50  235.60  243.61 224.95
    2 AXTA   36.40    24   5.6/10.2/8.7   3.50  51.87   36.63  0.63    5.72   36.28   36.00   38.00  33.49
    2   SN  183.80    76    7.0/9.6/7.2   4.21  47.23  184.99  0.65    3.88  181.82  176.35  186.67 169.10
    2  AMG  365.28    80   8.2/14.3/6.7   4.88  57.70  367.86  0.71    7.03  362.04  362.85  388.13 336.06
    2  NSC  351.24    44    5.9/8.3/3.8   3.18  61.10  354.24  0.85    2.05  345.51  341.15  351.35 323.14
    2  BNY  163.65    78    4.5/7.4/5.2   5.05  55.41  165.08  0.87    1.23  161.07  159.65  164.10 150.56
    2 BIIB  220.77    81   5.0/15.3/8.0   4.15  41.25  222.85  0.94    0.93  214.88  211.19  220.19 203.11
    2  CSX   51.51    79    6.0/7.8/3.6   3.32  52.32   52.00  0.95    3.90   50.96   50.64   53.12  47.39
    2  THG  227.12    51    7.5/9.7/8.1   5.66  63.25  229.28  0.95    3.79  224.53  223.42  233.90 208.95
    2  UNM   89.69    47    7.4/9.2/8.5   4.63  69.55   90.55  0.96    5.14   89.40   89.38   93.14  82.51
    2 AMGN  442.24    74    6.3/6.8/5.7   4.11  73.17  447.01  1.08    1.07  430.45  415.34  438.76 406.86
    2  HIG  138.22     7    3.7/6.7/2.9   2.94  48.22  140.00  1.29    5.37  138.32  138.96  144.93 127.16
    2  FDX  333.71    87    5.2/5.9/5.1   4.24  59.62  338.04  1.30    3.38  328.79  324.78  337.29 307.01
    2   SW   49.43    11  11.7/14.1/5.9   6.24  58.60   50.15  1.46    6.12   48.70   48.09   51.23  45.48
    2  BDX  189.78    41    5.0/8.6/7.1   6.36  54.42  193.07  1.73    1.70  185.77  179.05  188.98 174.60
    2 HSIC   89.65    49    6.1/6.9/4.2   4.13  63.47   91.29  1.83    2.74   89.11   88.34   91.20  82.48
    2 AMZN  261.06    23 17.9/12.4/10.5   3.64  50.16  266.40  2.05    9.10  262.34  260.68  280.26 240.18
    2  SYY   83.46     8    6.3/7.2/4.3   4.05  48.66   85.25  2.14    9.13   83.39   83.34   85.94  76.78
    2  DLR  192.32    23   5.7/10.8/8.6   7.04  61.00  197.18  2.53    7.60  192.79  191.85  199.59 176.93
    2  DRI  220.41    12   8.9/12.9/5.3   4.46  50.59  227.28  3.12    4.07  220.65  216.58  226.38 202.78
    2  VLO  340.41    94  11.6/11.9/8.1   3.80  58.51  353.00  3.70    3.57  339.50  327.93  346.01 313.18
    2  SSB  106.12    10    4.7/5.2/4.1   4.84  57.76  110.58  4.20    5.42  107.68  107.24  111.30  97.63
    2 GRMN  288.45    40    4.7/8.7/7.0   7.02  59.87  307.10  6.47    8.22  296.12  291.42  305.84 265.37
    2  CLH  308.48    42    4.6/6.3/5.0   6.59  56.53  328.68  6.55    8.17  316.05  314.21  331.84 283.80
    2  FTI   75.20    92  11.4/13.4/7.8   8.41  52.17   80.55  7.11    6.64   76.19   74.96   79.06  69.18
