======================================================================
  VCP 扫描器 v3 | 2026-08-27 00:59
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 18.5%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 113 只 VCP 形态标的：

 VCP分   代码   当前价格  RS评级            收缩%  5日振幅%  缩量比例%  突破挂单价  距突破%  距52周高%  10EMA  21EMA   吊灯止损   硬止损价
    3 SLAB 218.83    77    1.6/0.9/0.9   0.69  40.45 219.11  0.13    0.94 218.47 218.36 219.35 201.32
    3  ALL 261.81    44    8.0/7.2/5.2   3.70  55.65 262.19  0.15    5.56 259.45 259.18 274.45 240.87
    3  HLT 332.56    29   10.6/8.1/4.9   2.82  72.78 334.42  0.56    7.11 328.15 326.26 332.92 305.96
    3  AMP 560.28    11    7.0/5.2/4.5   3.26  50.45 564.47  0.75    2.14 558.86 552.73 568.06 515.46
    3  IEX 234.89    64    9.1/6.4/5.7   3.53  70.78 236.64  0.75    3.65 234.32 233.30 241.53 216.10
    3  WAB 300.54    76   11.0/6.2/4.8   4.56  69.95 302.90  0.79    1.99 296.84 293.83 304.49 276.50
    3  IVZ  32.98    72  14.2/10.2/4.5   6.75  72.17  33.31  0.99    0.98  32.27  31.63  32.69  30.34
    3  RNR 331.73    58   10.1/9.6/6.8   6.10  61.64 335.17  1.04    1.26 325.13 322.93 333.39 305.19
    3 ARWR  89.12    98  20.4/14.5/7.9   5.51  39.28  90.21  1.22    6.67  87.91  86.76  89.91  81.99
    3  APD 306.66     6    7.8/7.4/4.2   4.41  58.16 311.00  1.42    2.61 304.23 302.29 308.84 282.13
    3  BAC  62.23    35   18.9/9.0/4.0   2.80  67.54  63.24  1.62    4.60  62.71  62.57  64.74  57.25
    3 UBSI  47.45    33    4.7/4.1/3.9   2.40  69.45  48.31  1.81    4.37  47.96  48.03  49.34  43.65
    3 USFD 108.46    63   11.4/6.4/5.0   5.15  44.83 111.28  2.60    2.66 108.33 106.43 109.80  99.78
    3  WEX 198.58    20  29.2/17.1/5.5   5.05  71.52 203.99  2.72    2.65 196.46 190.04 201.12 182.69
    3 ZBRA 359.84    18   11.2/9.6/9.3   5.97  72.06 371.28  3.18    6.83 361.97 348.06 372.24 331.05
    3  THC 274.19    73  21.6/14.5/6.9   6.35  43.28 283.05  3.23    3.13 270.93 260.23 278.66 252.25
    3  CNC  65.47    93   10.0/8.9/7.2   6.63  74.89  67.68  3.38    5.61  65.22  65.13  67.05  60.23
    3 TRGP 294.03    86    9.7/8.1/5.8   8.33  72.13 307.94  4.73    4.52 288.66 282.22 301.93 270.51
    2  MSM 122.50    55    7.1/9.8/6.8   4.68  65.65 122.59  0.07    6.10 120.80 121.55 128.94 112.70
    2 TWLO 228.46    92 24.9/21.6/16.5   5.96  62.37 228.65  0.08   11.57 226.28 222.11 249.74 210.18
    2 NTRS 187.66    66    4.5/8.6/6.8   2.99  69.41 187.86  0.11    4.15 186.78 185.89 193.70 172.65
    2 VOYA 101.54    56    4.9/8.7/5.8   4.90  70.51 101.84  0.30    2.22  99.78  99.38 102.12  93.42
    2  NWS  35.24     5  4.8/11.6/10.1   7.02  43.87  35.35  0.31    0.31  34.17  33.33  34.86  32.42
    2 HSIC  90.38    50    6.1/6.9/4.2   3.42  54.38  90.67  0.32    1.95  89.34  88.53  91.20  83.15
    2  FAF  73.63    16   4.6/10.7/4.4   3.83  74.99  73.94  0.43    7.81  72.97  73.02  78.89  67.74
    2  CHE 548.56    30    6.8/8.7/6.5   4.26  72.16 551.36  0.51    1.52 539.95 533.33 551.78 504.68
    2 FTNT 157.54    91 -1.8/15.6/13.9   6.87  54.51 158.44  0.57    8.45 155.76 156.81 168.87 144.94
    2  BNY 163.08    76    4.5/7.4/5.2   4.44  58.00 164.12  0.64    1.58 161.43 159.96 164.10 150.03
    2   SN 188.55    78    7.0/9.6/7.2   6.91  69.76 189.79  0.66    1.40 183.05 177.46 186.90 173.47
    2  BEN  35.01    60    0.6/9.1/8.4   4.35  41.84  35.27  0.74    3.50  34.41  34.08  35.82  32.21
    2  CSX  51.76    79    6.0/7.8/3.6   3.62  56.37  52.15  0.75    3.43  51.10  50.74  52.08  47.62
    2 BIIB 221.07    82   5.0/15.3/8.0   4.15  54.07 222.85  0.81    0.80 216.00 212.09 220.19 203.38
    2  AMG 370.59    82   8.2/14.3/6.7   6.55  70.01 373.73  0.85    5.68 363.59 363.55 388.13 340.94
    2  NSC 352.68    46    5.9/8.3/3.8   3.48  51.21 355.99  0.94    1.65 346.82 342.20 352.90 324.47
    2  EMR 158.29    25   6.3/12.2/7.4   3.73  72.68 159.82  0.97    4.85 157.70 156.02 163.94 145.63
    2  DOC  21.58    30    6.8/7.3/3.8   5.36  70.88  21.80  1.02    5.97  21.29  21.31  22.66  19.85
    2 AMZN 260.28    19 17.9/12.4/10.5   2.66  41.07 263.89  1.39    9.37 261.97 260.64 280.26 239.46
    2  FDX 335.99    87    5.2/5.9/5.1   5.10  64.10 340.83  1.44    2.72 330.10 325.80 337.29 309.11
    2  BDX 190.21    37    5.0/8.6/7.1   4.16  63.44 193.07  1.50    1.48 186.58 180.06 189.50 174.99
    2 VRTX 547.29    64   6.7/12.0/5.7   3.24  52.44 555.69  1.53    1.51 537.13 521.43 545.44 503.51
    2  NUE 252.80    85  7.3/20.8/14.8   7.20  68.48 257.13  1.71    9.75 253.52 255.42 275.40 232.58
    2  DLR 193.43    19   5.7/10.8/8.6   6.85  51.78 196.84  1.76    7.07 192.90 192.00 199.59 177.96
    2  ITT 210.40    31    7.3/9.9/4.5   5.44  66.24 214.13  1.77    8.65 210.00 208.15 225.52 193.57
    2 NTAP 193.85    86  9.3/11.7/11.4   6.51  63.23 197.33  1.80    7.28 193.23 189.90 203.90 178.34
    2  KEX 139.02    65  12.0/14.9/4.3   4.23  59.99 141.70  1.93   11.84 138.29 138.00 145.05 127.90
    2   SW  49.56    12  11.7/14.1/5.9   5.85  63.34  50.52  1.94    5.87  48.86  48.22  51.23  45.60
    2 FAST  51.15     4   6.6/10.1/3.7   3.84  45.72  52.15  1.96    3.34  50.96  50.30  52.17  47.06
    2  SYY  83.27     6    6.3/7.2/4.3   3.50  57.53  85.25  2.38    9.34  83.37  83.33  85.94  76.61
    2   OC 145.71     1   7.6/14.9/8.6   3.19  72.31 150.00  2.94    8.88 148.73 148.32 156.98 134.05
    2  WST 349.92    66   5.0/15.7/4.2   4.03  59.45 360.29  2.96    9.35 350.45 349.63 356.89 321.93
    2 GRMN 289.02    34    4.7/8.7/7.0   4.47  57.65 298.42  3.25    8.04 294.83 291.20 306.41 265.90
    2   GD 382.02    24    5.1/6.5/5.5   5.20  70.79 394.68  3.31    4.50 385.46 385.11 397.05 351.46
    2  LYV 182.64    14    5.6/8.7/5.0   4.30  73.10 188.96  3.46    3.49 183.71 182.92 187.18 168.03
    1  AIZ 288.51    55    5.9/4.4/9.7   5.43  73.50 289.25  0.26    5.08 284.55 283.01 300.58 265.43
    1  MET  96.52    26    3.7/4.0/5.3   3.64  64.89  96.77  0.26    4.37  95.94  95.66 100.07  88.80
    1  PFG 112.21    62    7.5/4.8/4.9   2.11  56.60 112.50  0.26    3.77 112.19 112.42 115.82 103.23
    1  ITW 285.51     9    5.1/4.4/6.5   1.91  65.47 286.27  0.27    5.82 285.37 285.51 299.53 262.67
    1   EG 379.78    16   12.3/4.8/9.2   5.04  67.12 380.85  0.28    5.31 372.56 371.69 396.47 349.40
    1  WTS 378.14    54    8.3/6.0/7.4   4.03  48.21 379.18  0.28    4.16 375.18 370.96 386.81 347.89
    1  HIG 139.86     8    3.7/6.7/6.9   3.16  63.60 140.30  0.31    4.25 138.60 139.04 144.93 128.67
    1  HPE  55.23    95 19.3/14.4/19.1   8.09  55.07  55.45  0.40   14.04  54.22  53.15  61.15  50.81
    1  STT 193.62    85    6.1/6.1/6.3   6.32  48.04 194.52  0.46    0.80 189.84 187.61 192.94 178.13
    1  MSA 190.52    13   10.8/5.0/5.1   2.51  61.83 191.44  0.48    8.81 189.26 187.20 193.79 175.28
    1  AHR  57.16    55   14.6/5.8/8.8   4.42  72.59  57.44  0.49    2.62  55.86  55.41  57.98  52.59
    1 SBRA  21.01    10   7.0/4.9/13.2   4.01  52.70  21.11  0.50    7.73  20.62  20.62  22.42  19.33
    1  JPM 356.50    26    5.4/2.1/4.4   2.28  68.03 358.35  0.52    2.73 356.87 355.33 363.92 327.98
    1 WELL 241.56    67   4.5/4.5/11.8   3.37  73.84 243.04  0.61    5.34 238.30 237.06 251.76 222.24
    1  WCC 347.60    75  19.2/8.7/12.9   4.25  54.29 349.85  0.65    9.80 347.91 349.13 376.64 319.79
    1  RGA 246.55    41    5.3/4.4/4.7   3.76  62.98 248.24  0.68    1.77 244.47 242.21 248.89 226.83
    1  BMY  67.57    65    7.6/3.6/7.5   4.48  61.89  68.05  0.71    1.56  66.44  65.08  67.91  62.16
    1 ROKU 158.60    83    9.8/2.9/3.1   2.05  66.17 159.89  0.81    0.81 156.88 153.42 157.93 145.91
    1 ACGL 100.72    14   10.7/6.8/9.5   3.65  72.47 101.58  0.85    5.95  99.77  99.64 105.94  92.66
    1 EXPD 190.18    77   4.2/5.7/10.4   3.66  57.33 191.79  0.85    0.84 186.75 183.10 188.67 174.97
    1  AIT 342.44    42  5.9/10.3/10.6   3.04  67.11 345.38  0.86    8.63 344.89 346.19 369.87 315.04
    1  AME 245.20    50    4.5/7.4/9.1   4.21  66.30 247.40  0.90    6.11 245.32 245.73 258.07 225.58
    1  SCI  85.38    10   14.2/8.2/9.5   4.58  55.24  86.17  0.93    6.17  84.02  83.38  90.01  78.55
    1  ASH  74.32    51    9.0/7.2/8.5   4.88  66.73  75.07  1.01    5.02  73.52  72.60  76.97  68.37
    1  XYZ  83.10     7   7.7/9.9/11.0   5.90  62.67  83.95  1.02    4.21  81.60  80.96  85.67  76.45
    1  CAH 238.40    80   4.9/9.4/11.9   5.80  67.03 240.88  1.04    7.70 234.60 233.67 254.41 219.33
    1  ATR 135.24     2    6.1/6.4/7.2   4.39  60.07 136.64  1.04    7.94 134.07 133.35 138.43 124.42
    1 VRSN 292.99    11   9.0/9.8/10.5   9.21  67.67 296.07  1.05    6.24 286.20 284.19 299.38 269.55
    1  VTR  93.50    61   5.2/5.3/14.4   2.99  59.60  94.49  1.06    7.97  92.66  92.51  99.93  86.02
    1 NVST  27.80    49    9.6/5.9/8.0   5.36  53.97  28.11  1.12    8.61  27.59  27.53  28.74  25.58
    1 KRYS 359.76    95  9.7/15.0/19.5   8.61  62.63 363.82  1.13    5.95 344.59 341.40 360.82 330.98
    1 VTRS  16.85    81   7.5/7.1/13.6   6.79  73.04  17.07  1.28    8.37  16.51  16.59  18.10  15.50
    1 ELAN  25.08    57   8.0/6.8/23.8   8.68  66.69  25.41  1.32   10.36  24.28  24.27  27.22  23.07
    1 BALL  64.05    33   9.7/6.3/10.0   5.10  47.02  64.92  1.36    6.21  63.33  63.08  66.78  58.93
    1 TXRH 203.88    22    5.6/4.1/7.5   3.35  46.68 206.66  1.36    5.74 204.52 203.74 214.44 187.57
    1 EXEL  56.10    69   5.8/5.5/12.3   6.57  67.97  56.90  1.43    2.55  54.44  54.13  56.16  51.61
    1  CDP  37.32    45    4.7/4.9/6.9   3.78  62.52  37.87  1.47    4.06  37.23  37.17  38.60  34.33
    1 CBSH  58.50     3    4.9/4.2/4.9   3.27  66.62  59.39  1.52    3.97  58.84  58.95  60.53  53.82
    1 ABBV 262.90    39    6.6/7.1/9.8   2.62  47.63 266.91  1.53    1.71 260.36 256.51 264.48 241.87
    1  PHM 130.03     3    6.1/7.4/7.5   4.78  54.40 132.05  1.55   10.01 129.64 129.45 135.06 119.63
    1  SSB 106.36     7    5.2/4.1/6.0   2.52  54.67 108.08  1.62    5.20 107.44 107.16 111.30  97.85
    1 ARMK  59.52    72    6.0/5.6/6.0   2.80  62.37  60.57  1.76    5.00  59.53  58.93  61.81  54.76
    1 AVNT  44.78    27   11.1/6.9/7.5   5.68  71.69  45.57  1.76    3.99  44.29  42.88  45.38  41.20
    1  KDP  32.21    12  7.7/11.4/13.5   5.74  50.54  32.78  1.79    4.78  31.54  31.17  32.63  29.63
    1  OMC  87.89    18 10.9/10.0/12.5   3.91  50.57  89.57  1.91    1.88  87.15  85.45  88.08  80.86
    1  ELV 402.54    47  5.8/10.7/16.2   4.18  49.54 410.29  1.92    7.73 398.44 395.64 404.91 370.34
    1  CSL 365.72     1  6.3/10.7/10.9   6.39  63.24 372.74  1.92   15.52 365.76 364.99 385.00 336.46
    1  CFR 163.27    36    5.9/4.7/4.9   2.49  64.25 166.44  1.94    4.41 164.93 164.71 169.76 150.21
    1  CCK 119.08    27    8.2/6.0/6.7   5.92  71.19 121.51  2.04    3.12 118.96 118.33 121.98 109.55
    1  CHH 109.86     0 13.1/11.2/12.5   3.96  65.45 112.14  2.08   11.27 108.87 108.62 114.12 101.07
    1 INCY 128.12    73  12.9/7.1/12.7   4.14  44.90 130.80  2.09    3.38 126.26 123.63 130.69 117.87
    1 AAPL 313.45    59   9.5/4.7/12.9   4.32  59.79 320.28  2.18    9.03 310.85 311.93 339.51 288.37
    1 PCAR 129.23    41   16.6/5.1/6.8   4.92  54.20 132.43  2.48    7.19 129.86 129.96 137.76 118.89
    1  HUM 391.06    51  14.8/7.3/10.2   7.71  63.97 403.15  3.09    8.82 384.64 382.88 397.53 359.78
    1  DRI 218.81     8   6.4/8.9/12.9   4.80  47.59 227.28  3.87    4.77 220.32 216.78 226.61 201.31
    1  FTI  75.70    92 12.5/11.4/13.4   7.13  47.56  79.05  4.43    6.02  76.10  75.03  79.06  69.64
    1  OVV  64.52    77  13.2/6.3/10.5   6.79  62.88  67.44  4.53    4.33  64.62  63.17  66.35  59.36
    1 ALSN 128.78    67   12.9/5.7/9.5   9.36  74.63 134.66  4.57    6.42 128.11 125.02 132.07 118.48
    1  CLH 313.67    43    6.3/5.0/6.2   6.60  68.32 328.68  4.79    6.63 315.62 314.16 331.84 288.58
    1  FLR  52.03    40 12.7/12.4/12.6   7.84  57.12  54.62  4.98   10.18  52.20  52.00  56.66  47.87

