# VCP 美股扫描结果（最新）
# 数据来源: 本地价缓存扫描（SP500+SP400，共 903 只，绕过 Yahoo 匿名限流）
# 扫描日: 2026-09-01
# 列: VCP分 代码 当前价格 RS评级 收缩% 5日振幅% 缩量比例% 突破挂单价 距突破% 距52周高% 放量突破 10EMA 21EMA 吊灯止损 ATR止损

命中 26 只，按距突破百分比升序（越靠前越接近突破）：

| VCP分 | 代码 | 当前价格 | RS评级 | 收缩% | 5日振幅% | 缩量比例% | 突破挂单价 | 距突破% | 距52周高% | 放量突破 | 10EMA | 21EMA | 吊灯止损 | ATR止损 |
|------|------|---------|-------|-------|---------|---------|-----------|--------|---------|---------|-------|-------|---------|--------|
| 3 | DXCM | 91.06 | 31 | 14.7/11.8/5.5 | 4.19 | 61.38 | 91.18 | 0.13 | 1.65 | | 89.87 | 87.56 | 91.1 | 83.78 |
| 2 | KEX | 141.86 | 69 | 12.0/14.9/4.6 | 4.87 | 74.27 | 142.1 | 0.17 | 10.04 | | 139.25 | 138.58 | 140.6 | 130.51 |
| 2 | MU | 958.73 | 99 | 29.0/27.1/14.3 | 6.82 | 52.48 | 968.71 | 1.04 | 23.61 | | 940.03 | 931.71 | 1005.9 | 882.03 |
| 1 | KRYS | 359.36 | 95 | 9.7/15.0/19.5 | 5.82 | 52.22 | 363.82 | 1.24 | 6.06 | | 349.87 | 345.07 | 359.31 | 330.61 |
| 2 | NTRS | 185.56 | 60 | 4.5/8.6/6.8 | 2.07 | 74.96 | 188.75 | 1.72 | 5.22 | | 186.5 | 185.96 | 193.86 | 170.72 |
| 1 | AAPL | 316.85 | 57 | 9.5/4.7/12.9 | 4.59 | 73.92 | 322.37 | 1.74 | 8.04 | | 313.71 | 313.22 | 319.83 | 291.5 |
| 2 | THG | 226.11 | 38 | 7.5/9.7/8.1 | 2.51 | 63.88 | 230.16 | 1.79 | 4.22 | | 226.05 | 224.67 | 233.9 | 208.02 |
| 2 | ROKU | 156.93 | 77 | 2.9/3.1/2.3 | 2.4 | 63.06 | 159.89 | 1.89 | 1.85 | | 156.93 | 154.3 | 158.18 | 144.38 |
| 1 | OMC | 87.53 | 18 | 10.9/10.0/12.5 | 3.17 | 59.25 | 89.22 | 1.93 | 2.28 | | 87.48 | 86.06 | 88.27 | 80.53 |
| 2 | SSB | 104.89 | 3 | 4.7/5.2/4.1 | 2.57 | 72.31 | 107.35 | 2.35 | 6.52 | | 106.59 | 106.77 | 111.3 | 96.5 |
| 2 | BIIB | 216.65 | 72 | 5.0/15.3/8.0 | 4.34 | 69.88 | 222.85 | 2.86 | 2.78 | | 217.16 | 213.74 | 220.21 | 199.32 |
| 3 | CPAY | 404.3 | 37 | 11.8/6.6/4.5 | 3.59 | 71.97 | 415.94 | 2.88 | 5.08 | | 407.64 | 402.61 | 420.69 | 371.96 |
| 1 | BAX | 26.0 | 9 | 10.1/9.7/14.2 | 3.76 | 60.39 | 26.76 | 2.92 | 13.33 | | 26.26 | 26.05 | 28.08 | 23.92 |
| 1 | HALO | 106.49 | 65 | 11.2/7.3/10.2 | 5.98 | 62.69 | 109.66 | 2.98 | 2.89 | | 105.59 | 100.82 | 106.46 | 97.97 |
| 2 | OSK | 154.11 | 16 | 11.2/13.8/8.3 | 4.8 | 57.88 | 159.26 | 3.34 | 14.62 | | 154.61 | 153.25 | 157.92 | 141.78 |
| 1 | NVST | 27.14 | 42 | 9.6/5.9/8.0 | 5.36 | 54.6 | 28.11 | 3.57 | 10.78 | | 27.42 | 27.46 | 28.74 | 24.97 |
| 2 | WTS | 365.75 | 47 | 6.1/8.3/6.0 | 4.65 | 66.92 | 379.53 | 3.77 | 7.3 | | 371.81 | 370.21 | 387.86 | 336.49 |
| 3 | LECO | 281.23 | 22 | 11.7/6.5/4.9 | 5.65 | 71.44 | 292.63 | 4.05 | 9.28 | | 283.38 | 279.45 | 287.69 | 258.73 |
| 1 | AHR | 55.21 | 46 | 14.6/5.8/8.8 | 4.68 | 54.37 | 57.46 | 4.08 | 5.95 | | 55.77 | 55.49 | 56.88 | 50.79 |
| 1 | ABBV | 256.42 | 29 | 6.6/7.1/9.8 | 5.78 | 62.74 | 266.91 | 4.09 | 4.13 | | 258.65 | 256.54 | 264.04 | 235.91 |
| 3 | ZBRA | 353.55 | 20 | 11.2/9.6/9.3 | 5.12 | 67.51 | 369.0 | 4.37 | 8.46 | | 359.51 | 350.23 | 374.87 | 325.27 |
| 1 | CCK | 116.39 | 24 | 8.2/6.0/6.7 | 4.59 | 72.41 | 121.51 | 4.4 | 5.3 | | 118.22 | 118.08 | 121.98 | 107.08 |
| 3 | THC | 265.91 | 62 | 21.6/14.5/6.9 | 5.99 | 73.36 | 278.16 | 4.61 | 6.06 | | 269.01 | 261.85 | 278.66 | 244.64 |
| 1 | ANET | 195.69 | 64 | 17.2/12.6/14.9 | 9.61 | 65.16 | 206.13 | 5.33 | 8.93 | | 194.79 | 191.61 | 210.18 | 180.03 |
| 1 | SCI | 81.64 | 6 | 14.2/8.2/9.5 | 5.64 | 58.3 | 86.17 | 5.55 | 10.28 | | 83.42 | 83.23 | 86.99 | 75.11 |
| 2 | ALSN | 125.71 | 61 | 5.7/9.5/7.2 | 7.8 | 66.07 | 134.66 | 7.12 | 8.65 | | 127.54 | 125.5 | 132.07 | 115.65 |
